,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
61,62,603281,江瀚新材,63.4,3.61,2.21,144896.0,916003745.0,6.11,64.45,60.71,61.25,61.19,1.21,21.73,15.27,3.99,16906666688.0,4226666688.0,-0.24,-0.13,78.14,78.14
62,63,688073,毕得医药,152.25,3.57,5.25,9917.0,152869899.0,9.39,159.67,145.87,145.87,147.0,2.58,7.43,67.79,4.76,9883520682.0,2032354191.0,-0.35,0.07,57.85,85.33
63,64,600348,华阳股份,15.68,3.57,0.54,986855.0,1542845890.0,5.28,15.83,15.03,15.16,15.14,2.43,4.1,5.7,1.59,37710400000.0,37710400000.0,-0.13,0.06,-3.21,10.04
64,65,601699,潞安环能,20.07,3.56,0.69,360210.0,720975563.0,4.13,20.17,19.37,19.38,19.38,1.98,1.2,4.86,1.37,60037582644.0,60037582644.0,0.15,0.05,15.48,19.11
65,66,688272,富吉瑞,25.05,3.47,0.84,18828.0,48090225.0,9.17,26.48,24.26,24.26,24.21,1.95,7.79,-22.28,3.14,1903800000.0,605789461.0,0.16,0.32,4.03,29.12
66,67,603229,奥翔药业,26.23,3.43,0.87,80042.0,208652934.0,5.09,26.5,25.21,25.38,25.36,1.34,1.99,47.06,5.92,11111578620.0,10540963646.0,0.04,0.11,-4.34,10.21
67,68,600985,淮北矿业,13.42,3.39,0.44,247581.0,331118296.0,3.62,13.51,13.04,13.05,12.98,2.49,1.0,4.79,1.05,33295502114.0,33295502114.0,0.22,0.15,-2.82,4.84
68,69,603638,艾迪精密,19.66,3.31,0.63,77178.0,150365138.0,5.25,19.86,18.86,18.91,19.03,0.85,0.92,77.1,5.71,16517679111.0,16481646342.0,0.0,0.31,21.88,31.77
69,70,605080,浙江自然,50.6,3.31,1.62,13674.0,70874149.0,9.31,53.88,49.32,49.34,48.98,2.44,4.07,19.26,2.89,5116854160.0,1701354160.0,0.0,0.12,10.05,7.2
70,71,688221,前沿生物-U,15.06,3.29,0.48,69726.0,104464759.0,4.6,15.19,14.52,14.67,14.58,1.5,3.65,-18.68,3.13,5641154514.0,2875036830.0,0.07,0.13,-7.38,-12.75
